Date,Venue,Performers,URL,IsFree
"Saturday, 07 October 2023 06:00 PM",FACTORY THEATRE,UB COMEDY + ,https://www.factorytheatre.com.au/event/ub-comedy/,
"Sunday, 08 October 2023 01:00 PM",COURTYARD,"FREEKIN WEEKENDS – MOONWOOD, THE TOOTHPICKS, CLUB HALIFAX, IN GOOD HANDS + ",https://www.factorytheatre.com.au/event/freekin-weekends-moonwood-the-toothpicks-club-halifax-in-good-hands/,
"Sunday, 08 October 2023 02:00 PM",FACTORY THEATRE,FLOOR PLAY + ,https://www.factorytheatre.com.au/event/floor-play/,
"Friday, 13 October 2023 07:00 PM",FACTORY FLOOR,BRIDGE LEFT TO BURN + ,https://www.factorytheatre.com.au/event/bridge-left-to-burn/,
"Friday, 13 October 2023 07:30 PM",FUSEBOX,PACKING DHAKA: YOU KNOW THE VIBES + Yoskos in the Cosmos + Honey Drip,https://www.factorytheatre.com.au/event/packing-dhaka-you-know-the-vibes/,
"Friday, 13 October 2023 08:00 PM",FACTORY THEATRE,ARCHSPIRE + Werewolves + Ingested,https://www.factorytheatre.com.au/event/archspire/,
"Saturday, 14 October 2023 02:00 PM",COURTYARD,FREEKIN WEEKENDS – SYDNEY SOUL WEEKENDER + ,https://www.factorytheatre.com.au/event/freekin-weekends-sydney-soul-weekender/,
"Saturday, 14 October 2023 07:00 PM",FUSEBOX,CRICKET UNFILTERED + ,https://www.factorytheatre.com.au/event/cricket-unfiltered/,
"Saturday, 14 October 2023 07:00 PM",FUSEBOX,AZUCAR DANCE EVENT + Danikko + Farrah,https://www.factorytheatre.com.au/event/azucar-dance-event/,
"Saturday, 14 October 2023 07:30 PM",FACTORY THEATRE,JAMES MARRIOTT + ,https://www.factorytheatre.com.au/event/james-marriott/,
"Sunday, 15 October 2023 07:00 PM",FACTORY THEATRE,ASLEEP AT THE WHEEL + Summer Dean,https://www.factorytheatre.com.au/event/asleep-at-the-wheel/,
"Wednesday, 18 October 2023 07:30 PM",FACTORY THEATRE,JACKSON DEAN + Tori Forsyth,https://www.factorytheatre.com.au/event/jackson-dean/,
"Friday, 20 October 2023 07:00 PM",FUSEBOX,ROCK OF AGES + ,https://www.factorytheatre.com.au/event/rock-of-ages/,
"Friday, 20 October 2023 07:30 PM",FACTORY THEATRE,JAMMERS + ,https://www.factorytheatre.com.au/event/jammers/,
"Saturday, 21 October 2023 07:30 PM",FACTORY THEATRE,MARK SEYMOUR & THE UNDERTOW + ,https://www.factorytheatre.com.au/event/mark-seymour-the-undertow-2/,
"Saturday, 21 October 2023 08:00 PM",FACTORY FLOOR,EMOWEEN + ,https://www.factorytheatre.com.au/event/emoween/,
"Sunday, 22 October 2023 06:00 PM",FACTORY FLOOR,DANCE FILTHY AMATEUR + ,https://www.factorytheatre.com.au/event/dance-filthy-amateur/,
"Sunday, 22 October 2023 07:00 PM",FACTORY THEATRE,WILLIE WATSON + Nat Myers,https://www.factorytheatre.com.au/event/willie-watson/,
"Thursday, 26 October 2023 07:00 PM",FACTORY THEATRE,MY COUSIN VLAD + ,https://www.factorytheatre.com.au/event/my-cousin-vlad/,
"Thursday, 26 October 2023 08:30 PM",FACTORY THEATRE,MY COUSIN VLAD + ,https://www.factorytheatre.com.au/event/my-cousin-vlad/,
"Friday, 27 October 2023 08:00 PM",FACTORY THEATRE,DAY OF THE DEAD FIESTA + ,https://www.factorytheatre.com.au/event/day-of-the-dead-fiesta/,
"Saturday, 28 October 2023 01:00 PM",COURTYARD,FREEKIN WEEKENDS – BANANA BOMB RECORDS + ,https://www.factorytheatre.com.au/event/freekin-weekends-banana-bomb-records/,
"Saturday, 28 October 2023 07:30 PM",FACTORY FLOOR,ROCKET SCIENCE + ,https://www.factorytheatre.com.au/event/rocket-science/,
"Saturday, 28 October 2023 08:00 PM",FACTORY THEATRE,JESUS PIECE + ,https://www.factorytheatre.com.au/event/jesus-piece/,
"Sunday, 29 October 2023 06:30 PM",FACTORY THEATRE,MAKAYA MCRAVEN + ,https://www.factorytheatre.com.au/event/makaya-mcraven/,
"Wednesday, 01 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Thursday, 02 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Friday, 03 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Saturday, 04 November 2023 02:45 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Saturday, 04 November 2023 07:45 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Sunday, 05 November 2023 02:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Sunday, 05 November 2023 06:45 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Monday, 06 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Tuesday, 07 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Wednesday, 08 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Thursday, 09 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Friday, 10 November 2023 07:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Saturday, 11 November 2023 02:45 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Saturday, 11 November 2023 07:45 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
"Sunday, 12 November 2023 02:15 PM",FUSEBOX,LIFE OF BYRON + ,https://www.factorytheatre.com.au/event/life-of-byron/,
